"Application_1","Application_2","injection_rate_1","injection_rate_2","duration","performance_metric","id","points"
85679000,85755000,0.233575346879661,0.169232517015189,53,85717000,1,20
85835000,85715000,0.244578774552792,0.201264090370387,57,85775000,2,20
85705000,85740000,0.120351529214531,0.232608038932085,61,85722500,3,20
85822000,85713000,0.309835243970156,0.17274028994143,53,85767500,4,20
85725000,85719000,0.426769950892776,0.347307584248483,82,85722000,5,20
85711000,85773000,0.165484930388629,0.232398776803166,63,85742000,6,20
85816000,85712000,0.424320400692523,0.275432524271309,68,85764000,7,20
85787000,85796000,0.408808048814535,0.363971176557243,84,85791500,8,20
85715000,85701000,0.27838866552338,0.21096196398139,61,85708000,9,20
85719000,85870000,0.0161402076482773,0.303900251630694,75,85794500,10,20
