"Application_1","Application_2","injection_rate_1","injection_rate_2","duration","performance_metric","id","points"
86262000,86307000,0.425958431325853,0.351937863044441,83,2.14836340037945,1,20
86587000,86150000,0.403291882015765,0.490885571576655,110,1.98203124769662,2,20
86457000,86318000,0.440149473492056,0.474196190945804,108,1.95755328699095,3,20
86319000,86158000,0.469534560572356,0.421045929193497,95,1.98524813420465,4,20
86218000,86186000,0.43394014891237,0.450750998221338,102,1.99235797528084,5,20
85956000,85800000,0.458174637053162,0.353223220445216,84,2.09122101615341,6,20
86001000,86234000,0.434319294989109,0.433099004905671,97,2.01402132583991,7,20
86449000,85963000,0.484329412225634,0.448715577833354,100,1.93381968003084,8,20
86194000,86298000,0.39745179656893,0.420719326008111,97,2.084698199816,9,20
86053000,86119000,0.407737853005528,0.447491793893278,98,2.03013658392825,10,20
