"Application_1","Application_2","injection_rate_1","injection_rate_2","duration","performance_metric"
85871000,85919000,0.484375,0.296875,73,2.13895
85711000,85829000,0.359375,0.171875,54,2.74005294117647
86014000,85958000,0.109375,0.421875,95,2.74221294117647
164171000,164265000,0.078125,0.078125,76,8.04218
86171000,86081000,0.328125,0.328125,78,2.38506952380952
85941000,85832000,0.453125,0.203125,58,2.38267452380952
86252000,86283000,0.203125,0.453125,100,2.38648452380952
91473000,91475000,0.140625,0.140625,51,4.47029555555556
85911000,85866000,0.390625,0.390625,90,2.138885
819461000,819432000,0.265625,0.015625,263,11.7500205555556
85732000,85927000,0.015625,0.265625,67,4.41385055555556
96823000,96752000,0.0234375,0.1328125,54,7.367875
86130000,86231000,0.2734375,0.3828125,88,2.38561452380952
1638526000,1638784000,0.3984375,0.0078125,545,18.8480884615385
85955000,85987000,0.1484375,0.2578125,65,3.32124846153846
182440000,182488000,0.2109375,0.0703125,82,5.38019555555556
85776000,85920000,0.4609375,0.3203125,76,2.13848
85778000,85714000,0.3359375,0.1953125,56,2.73981294117647
86263000,86133000,0.0859375,0.4453125,99,2.74433294117647
328029000,327992000,0.1171875,0.0390625,127,9.680105
85871000,85919000,0.484375,0.296875,73,2.13895
85711000,85829000,0.359375,0.171875,53,2.74005294117647
86014000,85958000,0.109375,0.421875,93,2.74221294117647
164171000,164265000,0.078125,0.078125,76,8.04218
86171000,86081000,0.328125,0.328125,78,2.38506952380952
85941000,85832000,0.453125,0.203125,58,2.38267452380952
86252000,86283000,0.203125,0.453125,102,2.38648452380952
91473000,91475000,0.140625,0.140625,52,4.47029555555556
85911000,85866000,0.390625,0.390625,83,2.138885
819461000,819432000,0.265625,0.015625,284,11.7500205555556
85732000,85927000,0.015625,0.265625,69,4.41385055555556
96823000,96752000,0.0234375,0.1328125,54,7.367875
86130000,86231000,0.2734375,0.3828125,87,2.38561452380952
1638526000,1638784000,0.3984375,0.0078125,537,18.8480884615385
85955000,85987000,0.1484375,0.2578125,67,3.32124846153846
182440000,182488000,0.2109375,0.0703125,80,5.38019555555556
85776000,85920000,0.4609375,0.3203125,77,2.13848
85778000,85714000,0.3359375,0.1953125,56,2.73981294117647
86263000,86133000,0.0859375,0.4453125,98,2.74433294117647
328029000,327992000,0.1171875,0.0390625,127,9.680105
85871000,85919000,0.484375,0.296875,73,2.13895
85711000,85829000,0.359375,0.171875,53,2.74005294117647
86014000,85958000,0.109375,0.421875,93,2.74221294117647
164171000,164265000,0.078125,0.078125,75,8.04218
86171000,86081000,0.328125,0.328125,79,2.38506952380952
85941000,85832000,0.453125,0.203125,57,2.38267452380952
86252000,86283000,0.203125,0.453125,102,2.38648452380952
91473000,91475000,0.140625,0.140625,50,4.47029555555556
85911000,85866000,0.390625,0.390625,90,2.138885
819461000,819432000,0.265625,0.015625,283,11.7500205555556
85732000,85927000,0.015625,0.265625,69,4.41385055555556
96823000,96752000,0.0234375,0.1328125,54,7.367875
86130000,86231000,0.2734375,0.3828125,89,2.38561452380952
1638526000,1638784000,0.3984375,0.0078125,542,18.8480884615385
85955000,85987000,0.1484375,0.2578125,66,3.32124846153846
182440000,182488000,0.2109375,0.0703125,81,5.38019555555556
85776000,85920000,0.4609375,0.3203125,77,2.13848
85778000,85714000,0.3359375,0.1953125,56,2.73981294117647
86263000,86133000,0.0859375,0.4453125,99,2.74433294117647
328029000,327992000,0.1171875,0.0390625,129,9.680105
85871000,85919000,0.484375,0.296875,73,2.13895
85711000,85829000,0.359375,0.171875,54,2.74005294117647
86014000,85958000,0.109375,0.421875,94,2.74221294117647
164171000,164265000,0.078125,0.078125,76,8.04218
86171000,86081000,0.328125,0.328125,78,2.38506952380952
85941000,85832000,0.453125,0.203125,59,2.38267452380952
86252000,86283000,0.203125,0.453125,100,2.38648452380952
91473000,91475000,0.140625,0.140625,52,4.47029555555556
85911000,85866000,0.390625,0.390625,88,2.138885
819461000,819432000,0.265625,0.015625,280,11.7500205555556
85732000,85927000,0.015625,0.265625,69,4.41385055555556
96823000,96752000,0.0234375,0.1328125,54,7.367875
86130000,86231000,0.2734375,0.3828125,88,2.38561452380952
1638526000,1638784000,0.3984375,0.0078125,538,18.8480884615385
85955000,85987000,0.1484375,0.2578125,66,3.32124846153846
182440000,182488000,0.2109375,0.0703125,82,5.38019555555556
85776000,85920000,0.4609375,0.3203125,77,2.13848
85778000,85714000,0.3359375,0.1953125,58,2.73981294117647
86263000,86133000,0.0859375,0.4453125,102,2.74433294117647
328029000,327992000,0.1171875,0.0390625,129,9.680105
85871000,85919000,0.484375,0.296875,74,2.13895
85711000,85829000,0.359375,0.171875,54,2.74005294117647
86014000,85958000,0.109375,0.421875,96,2.74221294117647
164171000,164265000,0.078125,0.078125,76,8.04218
86171000,86081000,0.328125,0.328125,79,2.38506952380952
85941000,85832000,0.453125,0.203125,58,2.38267452380952
86252000,86283000,0.203125,0.453125,96,2.38648452380952
91473000,91475000,0.140625,0.140625,52,4.47029555555556
85911000,85866000,0.390625,0.390625,90,2.138885
819461000,819432000,0.265625,0.015625,287,11.7500205555556
85732000,85927000,0.015625,0.265625,69,4.41385055555556
96823000,96752000,0.0234375,0.1328125,54,7.367875
86130000,86231000,0.2734375,0.3828125,88,2.38561452380952
1638526000,1638784000,0.3984375,0.0078125,538,18.8480884615385
85955000,85987000,0.1484375,0.2578125,66,3.32124846153846
182440000,182488000,0.2109375,0.0703125,81,5.38019555555556
85776000,85920000,0.4609375,0.3203125,75,2.13848
85778000,85714000,0.3359375,0.1953125,57,2.73981294117647
86263000,86133000,0.0859375,0.4453125,99,2.74433294117647
328029000,327992000,0.1171875,0.0390625,127,9.680105
85871000,85919000,0.484375,0.296875,74,2.13895
85711000,85829000,0.359375,0.171875,53,2.74005294117647
