"Application_1","Application_2","injection_rate_1","injection_rate_2","packets_1","packets_2","duration","performance_metric"
86106000,86017000,0.768676639534533,0.278801813721657,95536,95536,84,5.4588133759845
8248000,25303000,0.52775196544826,0.80993639305234,16180,16180,312,5.93158175946302
220065000,220027000,0.145325966179371,0.0582632459700108,51228,51228,107,26.3889734990492
48284000,45417000,0.0957950232550502,0.955658700317144,19144,19144,533,13.1874045730213
86010000,85950000,0.729138393886387,0.207453172653913,71172,71172,69,7.10799801050194
91881000,91538000,0.974455768242478,0.738583870232105,270064,270064,462,2.28167925743821
87022000,86582000,0.356860842555761,0.487037651240826,167644,167644,135,3.77385545264008
88122000,90043000,0.341414509341121,0.697951172478497,242308,242308,265,2.8003332654956
86797000,86246000,0.958132110536098,0.449482400901616,154588,154588,127,3.50887637710046
52647000,14503000,0.713212720118463,0.980853364802897,19620,19620,580,9.14661582555899
85976000,85958000,0.080990687943995,0.229074359871447,78408,78408,74,8.70715961219053
96553000,94643000,0.160306850448251,0.753551804460585,279808,279808,533,2.80253965905802
2456660000,2457115000,0.543564509600401,0.00520990137010813,51200,51200,929,241.752662322412
86736000,86762000,0.785067888908088,0.53657699842006,184588,184588,149,3.10643353416689
86161000,85825000,0.417310719378293,0.284678873606026,97564,97564,88,5.83152717563194
39117000,7202000,0.46011380199343,0.914213032461703,18284,18284,448,7.06089848144454
85810000,85975000,0.843335225246847,0.170722440816462,58472,58472,62,8.33089196678819
87947000,87489000,0.579009026288986,0.639587690122426,221240,221240,211,2.80303331473138
86194000,86318000,0.21129191480577,0.382838134653866,131324,131324,107,4.9672244360904
86612000,86514000,0.0454890104010701,0.594939556904137,204988,204988,178,3.67287067130489
86200000,86635000,0.662292446009815,0.35132406372577,120564,120564,99,4.57045131648951
29633000,6032000,0.915386307984591,0.820193060673773,16396,16396,336,6.01424063542566
201729000,201827000,0.283082263544202,0.0635608965530992,51276,51276,103,22.5604877260362
87019000,86532000,0.308087869547307,0.570278249680996,196496,196496,157,3.34655036557393
85978000,85930000,0.925537892617285,0.313482977449894,107524,107524,91,4.80405702592903
5072000,15599000,0.684283470734954,0.844850074499846,16900,16900,365,3.71180535511328
126705000,126657000,0.0508407354354858,0.101405318826437,51324,51324,73,18.9096170394981
50889000,19847000,0.190215523354709,0.889555547386408,17800,17800,490,10.8609536981533
96798000,96738000,0.572740760631859,0.132877547293901,51340,51340,62,10.8414274080429
89311000,89394000,0.817415105178952,0.664248511195183,229664,229664,236,2.6202044884154
86166000,86096000,0.450878638774157,0.420678734779358,144444,144444,115,4.1288382616065
13005000,19309000,0.423617176711559,0.786513414233923,15724,15724,238,5.96404470653915
368622000,368733000,0.806106178089976,0.0347497276961803,51232,51232,163,37.1704382825038
86114000,86275000,0.552761540748179,0.503618724644184,173412,173412,148,3.4318807018018
85951000,85944000,0.186265132389963,0.255134753882885,87480,87480,79,7.17792793804525
92437000,91221000,0.0707551650702953,0.730908960103989,266792,266792,416,2.96839008910408
86451000,86612000,0.68829102255404,0.479026034474373,164608,164608,134,3.48507641989271
5809000,54746000,0.952864264138043,0.947891283780336,18948,18948,571,8.51573609196481
85949000,85760000,0.319339516572654,0.199534062296152,68360,68360,71,8.20683774034495
22062000,13512000,0.367156476713717,0.988620304502547,19776,19776,568,5.23470226322904
85826000,86164000,0.999315387569368,0.23699299339205,81260,81260,74,6.10020843593898
88431000,92436000,0.734590329229832,0.705625605769455,251408,251408,323,2.49288094397031
86599000,86441000,0.117687774822116,0.45749354083091,157448,157448,126,4.48615600706972
86056000,86817000,0.138959516771138,0.559845958836377,192704,192704,156,3.67374058840133
85752000,85777000,0.506775635294616,0.30834545660764,105596,105596,90,5.28778454008695
23351000,20223000,0.759295638650656,0.776974306441844,15508,15508,277,7.67536626835259
446007000,445945000,0.376219237223268,0.0287229428067803,51224,51224,189,46.001426513849
87636000,86764000,0.497329941019416,0.6472630770877,223440,223440,217,2.82497982462588
86223000,86376000,0.865231886506081,0.390848320908844,134300,134300,110,4.00906495718133
11872000,4640000,0.619673310779035,0.921979018487036,18428,18428,465,2.88872414061348
85831000,85930000,0.236514889635146,0.178642028011382,61156,61156,64,9.43015658359156
38949000,16200000,0.00485500879585743,0.843614608980715,16876,16876,374,9.34833067446593
147333000,147307000,0.636977676302195,0.0870748916640878,51276,51276,81,15.7465103066559
86869000,87402000,0.878139893524349,0.618209470994771,214256,214256,195,2.70173676725844
86035000,86154000,0.261277389712632,0.374989693053067,128876,128876,104,4.91187390139668
88439000,88786000,0.258776533417404,0.620655082166195,215660,215660,198,3.19154721110753
86495000,86308000,0.875274200923741,0.372542060911655,127872,127872,102,4.17983706905974
9435000,7810000,0.639843398705125,0.841165136545897,16844,16844,370,3.23473229680627
143380000,143355000,0.00735589489340782,0.0895264111459255,51288,51288,80,24.2985121555899
5839000,9404000,0.235595918260515,0.924429450184107,18476,18476,498,2.92459070624462
85895000,86055000,0.61912286374718,0.176189560443163,60368,60368,65,8.3782759351928
88056000,87445000,0.865782303735614,0.644816502928734,223028,223028,213,2.62924212740634
86557000,85797000,0.498248882591724,0.393296897411346,134944,134944,110,4.31471266465397
7273000,25450000,0.377256009727716,0.774512317031622,15480,15480,282,6.15295238341587
410779000,410749000,0.760697128251195,0.0311867408454418,51212,51212,178,41.3670838647235
86818000,86750000,0.505374115891755,0.562311716377735,193184,193184,162,3.18275385340497
86111000,85960000,0.137922714464366,0.305877916514874,104776,104776,89,6.35895140503647
88544000,87648000,0.121047481894493,0.703160792589188,244252,244252,289,3.01666895351623
86593000,86271000,0.737581392750144,0.459960117936134,158176,158176,125,3.56719059229834
20086000,8419000,0.996324353851378,0.991081345826387,19796,19796,579,4.10301193048337
86152000,85849000,0.363796799443662,0.234530154615641,80676,80676,74,7.00131982220265
24024000,32794000,0.316833672113717,0.945445620454848,18912,18912,539,8.30305738016175
85875000,85878000,0.949994529597461,0.201981761492789,69200,69200,68,7.07302284303684
